id,name,orig_name
88,777 PULIYODHARAI PASTE,777 PULIYODHARAI PASTE
89,BAKE PARLOR VERMICILLI,BAKE PARLOR VERMICILLI
90,KFI TAMARIND DATE SAUCE HOT,KFI TAMARIND DATE SAUCE HOT
91,AYUR RAJASTHANI HENNA,AYUR RAJASTHANI HENNA
92,BRU INSTANT COFFEE,BRU INSTANT COFFEE
93,AJAX BLEACH DISH WASH,AJAX BLEACH DISH WASH
94,ABALI CUCUMBER YOGURT,ABALI CUCUMBER YOGURT
95,HORIZON ORGANIC LOWFAT MILK,HORIZON ORGANIC LOWFAT MILK
96,BARAKA TURKEY BACON,BARAKA TURKEY BACON
97,HYLEYS 7 NATURAL TASTE TEA BAGS 25,HYLEYS 7 NATURAL TASTE TEA BAGS 25
98,AHMED MIXED FRUIT JELLY,AHMED MIXED FRUIT JELLY
99,ALEPPO SESAME PASTE TAHINI,ALEPPO SESAME PASTE TAHINI
100,GRB RASOGOLLA,GRB RASOGOLLA
101,GITS KHAMAN DHOKLA MIX,GITS KHAMAN DHOKLA MIX
102,BHAVANI ANARDANA,BHAVANI ANARDANA
103,APRICOT SANDWICH,APRICOT SANDWICH
104,AUNT JEMIMA PANCAKE MIX,AUNT JEMIMA PANCAKE MIX
105,BELLA BOSCO MUSHROOM,BELLA BOSCO MUSHROOM
106,BIKANO BOONDI,BIKANO BOONDI
107,AAHU BARAH  BASMATI SELA  RICE,AAHU BARAH  BASMATI SELA  RICE
108,GALIL PISTACHIO DELIGHT,GALIL PISTACHIO DELIGHT
109,DEEP KATRI GUM,DEEP KATRI GUM
110,HIMALAYA CLEAR COMPLEXION,HIMALAYA CLEAR COMPLEXION
111,AMUL MALAI PANEER,AMUL MALAI PANEER
112,GUNTERS WILDFLOWER PURE HONEY,GUNTERS WILDFLOWER PURE HONEY
113,AMMAS KITCHEN TAPIOCA CHIPS,AMMAS KITCHEN TAPIOCA CHIPS
114,ABHIRUCHI RIBBON PAKODI,ABHIRUCHI RIBBON PAKODI
115,BRUNSWICK SARDINE IN LEMON SAUCE,BRUNSWICK SARDINE IN LEMON SAUCE
116,BARILLA TOMATO N BASIL SAUCE,BARILLA TOMATO N BASIL SAUCE
117,GREEK VINEGAR,GREEK VINEGAR
118,DEEP CHUNDO,DEEP CHUNDO
119,BABOOL VALUE 2 PACK,BABOOL VALUE 2 PACK
120,HAAGEN DAS PEPPERMINT BARK,HAAGEN DAS PEPPERMINT BARK
121,JOY LYCHEE ICE CREAM,JOY LYCHEE ICE CREAM
122,BARLEY RUSK LIMNOS,BARLEY RUSK LIMNOS
123,ONION PARATHA 5 PCS,ONION PARATHA 5 PCS
124,BIKAJI MAWA MIX,BIKAJI MAWA MIX
125,FAIR   LOVELY  MENZ ACTIVE,FAIR   LOVELY  MENZ ACTIVE
126,GULLON MARIA BISCUITS,GULLON MARIA BISCUITS
127,AUTHENTIC PARATHA VALUE PACK 30 PCS,AUTHENTIC PARATHA VALUE PACK 30 PCS
128,CASTELLA ALL SPICE GROUND,CASTELLA ALL SPICE GROUND
129,HERBS TAYGETOS MOUNTAIN TEA,HERBS TAYGETOS MOUNTAIN TEA
130,BRITANNIA TREAT FUNKY CHOCO,BRITANNIA TREAT FUNKY CHOCO
131,BIKAJI MILK CAKE,BIKAJI MILK CAKE
132,24 MANTRA ORGANIC SAMBAR POWDER,24 MANTRA ORGANIC SAMBAR POWDER
133,GOYA GRAPE JELLY,GOYA GRAPE JELLY
134,EBM JAM DELIGHT,EBM JAM DELIGHT
135,CHETTINAD BLACK SESAME CHIKKI,CHETTINAD BLACK SESAME CHIKKI
136,BLUE HEAVEN KAJAL,BLUE HEAVEN KAJAL
137,KAROUN ACKAWI CHEESE,KAROUN ACKAWI CHEESE
138,SPICY PUNJABI MIX,SPICY PUNJABI MIX
139,24 MANTRA ORGANIC MOONG DAL SPLIT,24 MANTRA ORGANIC MOONG DAL SPLIT
140,JIVA ORG BROWN HAIR DYE,JIVA ORG BROWN HAIR DYE
141,KOLSON FALOODA VERMICELLI,KOLSON FALOODA VERMICELLI
142,CHAKOH COCONUT GEL IN SYRUP,CHAKOH COCONUT GEL IN SYRUP
